1022,1020,1018,1036 5',1036 6',1034 5' ,1034 6' ,1032 5' ,1032 6' ,1050 5',1050 6',1048 5',1048 6',1046 5',1046 6'
0.497871909,0.022567299,0.003124984,0.395588619,0.039552795,0.005825219,0.00093093,0.001884428,0,0.017269701,0.005775811,0.001368329,0.001886279,0.006353696,0
0.624968153,0.033261164,0.006356942,0.272906162,0.023486061,0.007325879,0.001051683,0.00281379,0,0.011085179,0.006803279,0.002134032,0.001814871,0.005992806,0
0.304702094,0.00411414,0.003263265,0.600042144,0,0.002850378,0.000415893,0.00100286,0,0.08253757,0,0.000420762,0.000195248,0.000455645,0
0.363573838,0.012287108,0.011843368,0.536108065,0,0.004908555,0.001007547,0.002511518,0,0.061707006,0,0.00115016,0.001170622,0.003732212,0
0.579571015,0.02480775,0.005812338,0.331455326,0.042154648,0.002728001,0.00092242,0.000613782,0,0.010017365,0.001666939,7.1277E-05,6.99635E-05,0.000109175,0
0.610321121,0.022491287,0.005500948,0.308700778,0.037885657,0.002534977,0.001039512,0.000624964,0,0.009065314,0.001533347,6.66461E-05,9.32069E-05,0.000142244,0
0.603949293,0.022032722,0.005189691,0.311535,0.036964999,0.003133088,0.001122382,0.001170372,0,0.009755039,0.00182848,0.000372677,0.000686621,0.002259635,0
0.713233402,0.053895818,0.016273672,0.120484405,0.079117802,0.005769081,0.00520273,0.000813526,0,0.002096698,0.002687786,8.45616E-05,0.000145481,0.000195038,0
0.801551029,0.03065545,0.017029224,0.094697179,0.030438167,0.006967414,0.001940699,0.008614025,0,0.002636518,0.00164538,0.000431428,0.000756481,0.002637007,0
0.448606318,0.067687747,0.02468534,0.242288058,0.093866293,0.040693658,0.021422904,0.022596863,0.001563783,0.016644708,0.01435279,0.001694191,0.002606745,0.000877704,0.000412898
0.343596518,0.102849252,0.027093435,0.227491204,0.146119674,0.037646291,0.051796627,0.008993391,0.002907526,0.020461046,0.022402894,0.002192164,0.004866879,0.000726146,0.000856953
0.329700465,0.086860391,0.023697962,0.317914064,0.147792429,0.0216195,0.031302615,0.001561644,0.001496928,0.019212895,0.01585516,0.000760353,0.002225594,0,0
0.846582523,0.059733548,0.021708815,0.048191205,0.017296893,0.002471969,0.002413094,0,0,0.000689805,0.00091215,0,0,0,0
0.852340147,0.043723627,0.035635511,0.050081861,0.012999798,0.00170036,0.001827224,0,0,0.00092314,0.000768332,0,0,0,0
0.268250944,0.372282961,0.080295399,0.080959422,0.066065777,0.037277225,0.064630392,0.005148398,0.006346112,0.0090875,0.003711601,0.002815289,0.002542529,0.000300881,0.00028557
0.283541932,0.335935933,0.080541598,0.072048273,0.084370204,0.036247872,0.071638547,0.004375082,0.007546636,0.00858672,0.008464841,0.002489878,0.004212484,0,0
0.791301422,0.072510551,0.024322636,0.072169781,0.028501072,0.005092859,0.002032358,0.001874616,0,0.001189946,0.001004758,0,0,0,0
0.775286082,0.076229,0.023706875,0.085677082,0.02698961,0.005350175,0.002257926,0.002195692,0,0.00150276,0.000804799,0,0,0,0
0.613417474,0.16481154,0.016894465,0.137142815,0.035661397,0.014441579,0.008983063,0.003448875,0,0.002822601,0.001604541,0.000514782,7.92713E-05,0.000177598,0
